From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0C4DGF3	A0A0C4DGF3	unreviewed	A0A0C4DGF3_HUMAN	TNF receptor superfamily member 25	TNFRSF25	Homo sapiens (Human)	253
Q9UJP4	Q9UJP4	reviewed	KLH21_HUMAN	Kelch-like protein 21	KLHL21 KIAA0469	Homo sapiens (Human)	597
Q9Y6Y1	Q9Y6Y1	reviewed	CMTA1_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	Homo sapiens (Human)	1673
A0A0C4DGL0	A0A0C4DGL0	unreviewed	A0A0C4DGL0_HUMAN	Calmodulin binding transcription activator 1	CAMTA1	Homo sapiens (Human)	1560
P56645	P56645	reviewed	PER3_HUMAN	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	PER3 GIG13	Homo sapiens (Human)	1201
Q07011	Q07011	reviewed	TNR9_HUMAN	Tumor necrosis factor receptor superfamily member 9 (4-1BB ligand receptor) (CDw137) (T-cell antigen 4-1BB homolog) (T-cell antigen ILA) (CD antigen CD137)	TNFRSF9 CD137 ILA	Homo sapiens (Human)	255
A0A6I8PRR4	A0A6I8PRR4	unreviewed	A0A6I8PRR4_HUMAN	TNF receptor superfamily member 9	TNFRSF9	Homo sapiens (Human)	115
Q9BSK2	Q9BSK2	reviewed	S2533_HUMAN	Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1)	SLC25A33	Homo sapiens (Human)	321
P42345	P42345	reviewed	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
P28908	P28908	reviewed	TNR8_HUMAN	Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30)	TNFRSF8 CD30 D1S166E	Homo sapiens (Human)	595
P20333	P20333	reviewed	TNR1B_HUMAN	Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]	TNFRSF1B TNFBR TNFR2	Homo sapiens (Human)	461
B5A977	B5A977	unreviewed	B5A977_HUMAN	Soluble TNFR1B variant 1 (TNF receptor superfamily member 1B)	TNFRSF1B TNFR1B	Homo sapiens (Human)	155
Q8IVS6	Q8IVS6	unreviewed	Q8IVS6_HUMAN	Similar to tumor necrosis factor receptor superfamily, member 1B (TNFRSF1B protein)	TNFRSF1B	Homo sapiens (Human)	457
O95522	O95522	reviewed	PRA12_HUMAN	PRAME family member 12	PRAMEF12	Homo sapiens (Human)	483
O95521	O95521	reviewed	PRAM1_HUMAN	PRAME family member 1	PRAMEF1	Homo sapiens (Human)	474
O60813	O60813	reviewed	PRA11_HUMAN	PRAME family member 11	PRAMEF11	Homo sapiens (Human)	478
O60811	O60811	reviewed	PRAM2_HUMAN	PRAME family member 2	PRAMEF2	Homo sapiens (Human)	474
O60810	O60810	reviewed	PRAM4_HUMAN	PRAME family member 4	PRAMEF4	Homo sapiens (Human)	478
O60809	O60809	reviewed	PRA10_HUMAN	PRAME family member 10	PRAMEF10	Homo sapiens (Human)	474
Q5VWM4	Q5VWM4	reviewed	PRAM8_HUMAN	PRAME family member 8	PRAMEF8 PRAMEF24	Homo sapiens (Human)	474
Q5TYX0	Q5TYX0	reviewed	PRAM5_HUMAN	PRAME family member 5	PRAMEF5 PRAMEF23 PRAMEF5L	Homo sapiens (Human)	476
A3QJZ7	A3QJZ7	reviewed	PRA27_HUMAN	PRAME family member 27	PRAMEF27	Homo sapiens (Human)	478
A6NGN4	A6NGN4	reviewed	PRA25_HUMAN	PRAME family member 25	PRAMEF25	Homo sapiens (Human)	478
Q5VWM6	Q5VWM6	reviewed	PRA13_HUMAN	Putative PRAME family member 13	PRAMEF13	Homo sapiens (Human)	474
A3QJZ6	A3QJZ6	reviewed	PRA22_HUMAN	PRAME family member 22	PRAMEF22	Homo sapiens (Human)	481
Q5VWM3	Q5VWM3	reviewed	PRA18_HUMAN	PRAME family member 18	PRAMEF18	Homo sapiens (Human)	479
A0A0G2JMD5	A0A0G2JMD5	reviewed	PRA33_HUMAN	PRAME family member 33	PRAMEF33	Homo sapiens (Human)	474
P0DUQ1	P0DUQ1	reviewed	PRA15_HUMAN	PRAME family member 15	PRAMEF15	Homo sapiens (Human)	478
Q5SWL7	Q5SWL7	reviewed	PRA14_HUMAN	PRAME family member 14	PRAMEF14	Homo sapiens (Human)	474
Q5SWL8	Q5SWL8	reviewed	PRA19_HUMAN	PRAME family member 19	PRAMEF19	Homo sapiens (Human)	479
Q5VTA0	Q5VTA0	reviewed	PRA17_HUMAN	PRAME family member 17	PRAMEF17	Homo sapiens (Human)	474
Q5VT98	Q5VT98	reviewed	PRA20_HUMAN	PRAME family member 20	PRAMEF20 PRAMEF21	Homo sapiens (Human)	475
Q5VT99	Q5VT99	reviewed	LRC38_HUMAN	Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38)	LRRC38	Homo sapiens (Human)	294
Q6PIV7	Q6PIV7	reviewed	S2534_HUMAN	Solute carrier family 25 member 34	SLC25A34	Homo sapiens (Human)	304
Q6P3S6	Q6P3S6	reviewed	FBX42_HUMAN	F-box only protein 42 (Just one F-box and Kelch domain-containing protein)	FBXO42 FBX42 JFK KIAA1332	Homo sapiens (Human)	717
O95559	O95559	unreviewed	O95559_HUMAN	WH2 domain-containing protein		Homo sapiens (Human)	671
B4DFT2	B4DFT2	unreviewed	B4DFT2_HUMAN	cDNA FLJ60011, moderately similar to Homo sapiens espin (ESPN), mRNA		Homo sapiens (Human)	127
A0A024RAC5	A0A024RAC5	unreviewed	A0A024RAC5_HUMAN	Epididymis secretory sperm binding protein (Regulator of chromosome condensation 2, isoform CRA_a)	RCC2 hCG_25129	Homo sapiens (Human)	522
Q9P258	Q9P258	reviewed	RCC2_HUMAN	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	RCC2 KIAA1470 TD60	Homo sapiens (Human)	522
Q5VTJ3	Q5VTJ3	reviewed	KLD7A_HUMAN	Kelch domain-containing protein 7A	KLHDC7A	Homo sapiens (Human)	777
O43432	O43432	reviewed	IF4G3_HUMAN	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585
O43390	O43390	reviewed	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
A0AAA9YHE6	A0AAA9YHE6	unreviewed	A0AAA9YHE6_HUMAN	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	ASAP3	Homo sapiens (Human)	772
Q8TDY4	Q8TDY4	reviewed	ASAP3_HUMAN	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)	ASAP3 DDEFL1 UPLC1	Homo sapiens (Human)	903
Q5TH74	Q5TH74	reviewed	STPG1_HUMAN	O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1)	STPG1 C1orf201	Homo sapiens (Human)	334
Q5T124	Q5T124	reviewed	UBX11_HUMAN	UBX domain-containing protein 11 (Colorectal tumor-associated antigen COA-1) (Socius) (UBX domain-containing protein 5)	UBXN11 SOC UBXD5 PP2243	Homo sapiens (Human)	520
Q8N5D0	Q8N5D0	reviewed	WDTC1_HUMAN	WD and tetratricopeptide repeats protein 1	WDTC1 KIAA1037	Homo sapiens (Human)	677
Q9H8E2	Q9H8E2	unreviewed	Q9H8E2_HUMAN	cDNA FLJ13716 fis, clone PLACE2000411, highly similar to Homo sapiens epsin 2b mRNA		Homo sapiens (Human)	355
H0YEI6	H0YEI6	unreviewed	H0YEI6_HUMAN	WD and tetratricopeptide repeats 1	WDTC1	Homo sapiens (Human)	125
Q8IZ21	Q8IZ21	reviewed	PHAR4_HUMAN	Phosphatase and actin regulator 4	PHACTR4 PRO2963	Homo sapiens (Human)	702
A0A0J9YVR0	A0A0J9YVR0	unreviewed	A0A0J9YVR0_HUMAN	Phosphatase and actin regulator 4	PHACTR4	Homo sapiens (Human)	221
P18754	P18754	reviewed	RCC1_HUMAN	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
A0A0S2Z3I4	A0A0S2Z3I4	unreviewed	A0A0S2Z3I4_HUMAN	Regulator of chromosome condensation 1 isoform 3	RCC1	Homo sapiens (Human)	438
C9JW69	C9JW69	unreviewed	C9JW69_HUMAN	Regulator of chromosome condensation 1	RCC1	Homo sapiens (Human)	372
Q14671	Q14671	reviewed	PUM1_HUMAN	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1	Homo sapiens (Human)	1186
B3KU37	B3KU37	unreviewed	B3KU37_HUMAN	Pumilio homolog 1		Homo sapiens (Human)	925
H0YC97	H0YC97	unreviewed	H0YC97_HUMAN	Pumilio homolog 1	PUM1	Homo sapiens (Human)	227
H0YDC5	H0YDC5	unreviewed	H0YDC5_HUMAN	Pumilio homolog 1	PUM1	Homo sapiens (Human)	217
E9PR38	E9PR38	unreviewed	E9PR38_HUMAN	Pumilio homolog 1	PUM1	Homo sapiens (Human)	944
A0MNP2	A0MNP2	unreviewed	A0MNP2_HUMAN	CDW11/WDR57 (WD repeat domain 57 (U5 snRNP specific), isoform CRA_a) (cDNA FLJ90035 fis, clone HEMBA1001878, highly similar to WD repeat protein 57)	WDR57 hCG_20041	Homo sapiens (Human)	357
Q96DI7	Q96DI7	reviewed	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein (U5 snRNP 40 kDa protein) (U5-40K) (38 kDa-splicing factor) (Prp8-binding protein) (hPRP8BP) (U5 snRNP-specific 40 kDa protein) (WD repeat-containing protein 57)	SNRNP40 PRP8BP SFP38 WDR57	Homo sapiens (Human)	357
Q9UBV8	Q9UBV8	reviewed	PEF1_HUMAN	Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1)	PEF1 ABP32 UNQ1845/PRO3573	Homo sapiens (Human)	284
O60684	O60684	reviewed	IMA7_HUMAN	Importin subunit alpha-7 (Karyopherin subunit alpha-6)	KPNA6 IPOA7	Homo sapiens (Human)	536
B4DII5	B4DII5	unreviewed	B4DII5_HUMAN	Importin subunit alpha		Homo sapiens (Human)	533
Q13347	Q13347	reviewed	EIF3I_HUMAN	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2 TRIP1	Homo sapiens (Human)	325
A0A7I2V2M3	A0A7I2V2M3	unreviewed	A0A7I2V2M3_HUMAN	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2	Homo sapiens (Human)	347
A0A7I2V5E4	A0A7I2V5E4	unreviewed	A0A7I2V5E4_HUMAN	Serine-threonine kinase receptor-associated protein	EIF3I	Homo sapiens (Human)	108
A0A7I2V3T4	A0A7I2V3T4	unreviewed	A0A7I2V3T4_HUMAN	Serine-threonine kinase receptor-associated protein	EIF3I	Homo sapiens (Human)	97
A0A7I2YQT9	A0A7I2YQT9	unreviewed	A0A7I2YQT9_HUMAN	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2 hCG_41608	Homo sapiens (Human)	277
A0A7I2V415	A0A7I2V415	unreviewed	A0A7I2V415_HUMAN	Serine-threonine kinase receptor-associated protein	EIF3I	Homo sapiens (Human)	43
A0A7I2V3U3	A0A7I2V3U3	unreviewed	A0A7I2V3U3_HUMAN	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (eIF-3-beta) (eIF3 p36)	EIF3I EIF3S2	Homo sapiens (Human)	324
Q09028	Q09028	reviewed	RBBP4_HUMAN	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48	Homo sapiens (Human)	425
H0YF10	H0YF10	unreviewed	H0YF10_HUMAN	RB binding protein 4, chromatin remodeling factor	RBBP4	Homo sapiens (Human)	207
B4DRT0	B4DRT0	unreviewed	B4DRT0_HUMAN	cDNA FLJ50184, highly similar to Histone-binding protein RBBP4		Homo sapiens (Human)	173
P23246	P23246	reviewed	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	Homo sapiens (Human)	707
Q9HAW4	Q9HAW4	reviewed	CLSPN_HUMAN	Claspin (hClaspin)	CLSPN	Homo sapiens (Human)	1339
Q2MKA7	Q2MKA7	reviewed	RSPO1_HUMAN	R-spondin-1 (Roof plate-specific spondin-1) (hRspo1)	RSPO1	Homo sapiens (Human)	263
Q9UPN3	Q9UPN3	reviewed	MACF1_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Homo sapiens (Human)	7388
O94854	O94854	reviewed	K0754_HUMAN	Microtubule-actin cross-linking factor 1, isoforms 6/7 (Uncharacterized protein KIAA0754)	MACF1 KIAA0754	Homo sapiens (Human)	3515
Q96GD3	Q96GD3	reviewed	SCMH1_HUMAN	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	Homo sapiens (Human)	660
A0A8Q3SHN2	A0A8Q3SHN2	unreviewed	A0A8Q3SHN2_HUMAN	Scm polycomb group protein homolog 1	SCMH1	Homo sapiens (Human)	670
Q5T1R4	Q5T1R4	reviewed	ZEP3_HUMAN	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	HIVEP3 KBP1 KIAA1555 KRC ZAS3	Homo sapiens (Human)	2406
Q9H0C1	Q9H0C1	reviewed	ZMY12_HUMAN	Zinc finger MYND domain-containing protein 12	ZMYND12	Homo sapiens (Human)	365
Q32P28	Q32P28	reviewed	P3H1_HUMAN	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	P3H1 GROS1 LEPRE1 PSEC0109	Homo sapiens (Human)	736
Q96MR6	Q96MR6	reviewed	CFA57_HUMAN	Cilia- and flagella-associated protein 57 (WD repeat-containing protein 65)	CFAP57 WDR65	Homo sapiens (Human)	1250
A0A087WVY5	A0A087WVY5	unreviewed	A0A087WVY5_HUMAN	Cilia and flagella associated protein 57	CFAP57	Homo sapiens (Human)	1283
Q12834	Q12834	reviewed	CDC20_HUMAN	Cell division cycle protein 20 homolog (p55CDC)	CDC20	Homo sapiens (Human)	499
B4E1H5	B4E1H5	unreviewed	B4E1H5_HUMAN	cDNA FLJ51449, highly similar to Cell division cycle protein 20 homolog		Homo sapiens (Human)	475
O94829	O94829	reviewed	IPO13_HUMAN	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13 KIAA0724 RANBP13	Homo sapiens (Human)	963
Q5T624	Q5T624	unreviewed	Q5T624_HUMAN	Nuclear autoantigenic sperm protein	NASP	Homo sapiens (Human)	422
P49321	P49321	reviewed	NASP_HUMAN	Nuclear autoantigenic sperm protein (NASP)	NASP	Homo sapiens (Human)	788
B4DS57	B4DS57	unreviewed	B4DS57_HUMAN	Nuclear autoantigenic sperm protein		Homo sapiens (Human)	688
Q9Y573	Q9Y573	reviewed	IPP_HUMAN	Actin-binding protein IPP (Intracisternal A particle-promoted polypeptide) (IPP) (Kelch-like protein 27)	IPP KLHL27	Homo sapiens (Human)	584
Q96LR2	Q96LR2	reviewed	LURA1_HUMAN	Leucine rich adaptor protein 1 (Leucine repeat adapter protein 35A)	LURAP1 C1orf190 LRAP35A LRP35A	Homo sapiens (Human)	239
Q15345	Q15345	reviewed	LRC41_HUMAN	Leucine-rich repeat-containing protein 41 (Protein Muf1)	LRRC41 MUF1 PP7759	Homo sapiens (Human)	812
P42773	P42773	reviewed	CDN2C_HUMAN	Cyclin-dependent kinase 4 inhibitor C (Cyclin-dependent kinase 6 inhibitor) (p18-INK4c) (p18-INK6)	CDKN2C CDKN6	Homo sapiens (Human)	168
Q6ICV4	Q6ICV4	unreviewed	Q6ICV4_HUMAN	CDKN2C protein (Cyclin-dependent kinase inhibitor 2C (P18, inhibits CDK4), isoform CRA_a) (cDNA FLJ33851 fis, clone CTONG2005635, highly similar to CYCLIN-DEPENDENT KINASE 6 INHIBITOR)	CDKN2C hCG_40289	Homo sapiens (Human)	168
Q5SRH9	Q5SRH9	reviewed	TT39A_HUMAN	Tetratricopeptide repeat protein 39A (TPR repeat protein 39A) (Differentially expressed in MCF-7 with estradiol protein 6) (DEME-6)	TTC39A C1orf34 KIAA0452	Homo sapiens (Human)	613
P42566	P42566	reviewed	EPS15_HUMAN	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)	EPS15 AF1P	Homo sapiens (Human)	896
Q96BR5	Q96BR5	reviewed	COA7_HUMAN	Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)	COA7 C1orf163 RESA1 SELRC1	Homo sapiens (Human)	231
Q9C0D3	Q9C0D3	reviewed	ZY11B_HUMAN	Protein zyg-11 homolog B	ZYG11B KIAA1730	Homo sapiens (Human)	744
Q6WRX3	Q6WRX3	reviewed	ZY11A_HUMAN	Protein zyg-11 homolog A	ZYG11A ZYG11	Homo sapiens (Human)	759
Q7Z5L7	Q7Z5L7	reviewed	PODN_HUMAN	Podocan	PODN SLRR5A UNQ293/PRO332	Homo sapiens (Human)	613
Q14114	Q14114	reviewed	LRP8_HUMAN	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	LRP8 APOER2	Homo sapiens (Human)	963
A0A590UJ39	A0A590UJ39	unreviewed	A0A590UJ39_HUMAN	LDL receptor related protein 8	LRP8	Homo sapiens (Human)	175
A0A590UKB5	A0A590UKB5	unreviewed	A0A590UKB5_HUMAN	LDL receptor related protein 8	LRP8	Homo sapiens (Human)	234
A0A590UJ57	A0A590UJ57	unreviewed	A0A590UJ57_HUMAN	LDL receptor related protein 8	LRP8	Homo sapiens (Human)	888
H0YEV6	H0YEV6	unreviewed	H0YEV6_HUMAN	LDL receptor related protein 8	LRP8	Homo sapiens (Human)	157
Q8N7R6	Q8N7R6	unreviewed	Q8N7R6_HUMAN	Solute carrier family 25 member 3 (Phosphate carrier protein, mitochondrial) (Phosphate transport protein)		Homo sapiens (Human)	334
Q9Y546	Q9Y546	reviewed	LRC42_HUMAN	Leucine-rich repeat-containing protein 42	LRRC42	Homo sapiens (Human)	428
Q68CQ1	Q68CQ1	reviewed	MROH7_HUMAN	Maestro heat-like repeat-containing protein family member 7 (HEAT repeat-containing protein 8)	MROH7 C1orf175 HEATR8	Homo sapiens (Human)	1323
O95801	O95801	reviewed	TTC4_HUMAN	Tetratricopeptide repeat protein 4 (TPR repeat protein 4)	TTC4 My044	Homo sapiens (Human)	387
Q5TAA0	Q5TAA0	reviewed	TTC22_HUMAN	Tetratricopeptide repeat protein 22 (TPR repeat protein 22)	TTC22	Homo sapiens (Human)	569
Q5T7N3	Q5T7N3	reviewed	KANK4_HUMAN	KN motif and ankyrin repeat domain-containing protein 4 (Ankyrin repeat domain-containing protein 38)	KANK4 ANKRD38	Homo sapiens (Human)	995
B0I1P6	B0I1P6	unreviewed	B0I1P6_HUMAN	Kidney ankyrin repeat-containing protein 4	Kank4	Homo sapiens (Human)	995
O75061	O75061	reviewed	AUXI_HUMAN	Auxilin (EC 3.1.3.-) (DnaJ homolog subfamily C member 6)	DNAJC6 KIAA0473	Homo sapiens (Human)	913
Q5VTH9	Q5VTH9	reviewed	DNAI4_HUMAN	Dynein axonemal intermediate chain 4 (WD repeat-containing protein 78)	DNAI4 WDR78	Homo sapiens (Human)	848
A0AVI9	A0AVI9	unreviewed	A0AVI9_HUMAN	Dynein axonemal intermediate chain 4 (WD repeat-containing protein 78)	WDR78	Homo sapiens (Human)	848
Q96NW7	Q96NW7	reviewed	LRRC7_HUMAN	Leucine-rich repeat-containing protein 7 (Densin-180) (Densin) (Protein LAP1)	LRRC7 KIAA1365 LAP1	Homo sapiens (Human)	1537
Q9H9A6	Q9H9A6	reviewed	LRC40_HUMAN	Leucine-rich repeat-containing protein 40	LRRC40	Homo sapiens (Human)	602
Q05519	Q05519	reviewed	SRS11_HUMAN	Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)	SRSF11 SFRS11	Homo sapiens (Human)	484
